119,33285,5000
74,35696,2000
28,14535,2000
94,43109,30
32,16738,300
108,48823,20000
135,58770,20000
79,37582,500
58,29206,1000
40,20612,30
54,27472,20000
45,23227,1000
132,57838,1
131,57393,1000
4,2033,1000
135,58962,20000
71,32280,20000
114,51157,20
18,6874,20000
61,4651,1000
9,4738,30
12,6342,20000
2,1171,20000
38,19829,20000
3,747,30
1,493,30
33,17236,20000
81,15405,1000
68,9206,30
114,51118,20000
28,14495,900
49,24398,30
76,36087,500
57,28855,30
92,19434,30
39,19889,30
33,16886,1
97,44227,1000
102,46473,1000
25,13137,30
54,27473,1000
99,41882,20000
16,7942,30
33,17245,30
94,43314,1000
136,59151,30
67,32560,20000
103,26092,1000
5,260,10
125,55120,1000
125,55319,30
122,54173,1000
47,24415,800
42,21623,30
120,53411,1000
39,20237,1
77,13766,30
124,35358,900
43,21850,300
110,49568,1000
130,57084,30
102,46719,30
101,46222,1000
53,27218,1000
3,1328,1000
128,56278,1000
69,7583,20000
123,54394,500
70,33793,800
78,36852,600
49,25011,1000
10,4969,1000
87,37627,20000
17,8613,20000
10,5104,30
26,10514,20000
137,41246,30
95,43536,900
25,11199,20000
111,50042,30
143,61662,400
48,24600,600
11,5763,30
8,4347,20000
123,54237,20000
143,61717,30
131,16325,1000
117,52319,20000
77,36761,30
105,47733,190
2,825,300
60,30074,30
134,39764,1
52,24330,1000
110,49344,20000
33,17178,20000
41,21219,30
64,31741,20000
72,34584,20000
19,9841,30
5,2649,1000
122,34633,1
46,23479,30
71,6655,20000
116,51713,20000
95,42901,30
144,62130,1000
131,57487,30
110,49354,20000
119,52864,1000
47,23861,20000
141,61054,30
94,43338,20
47,24358,800
40,20629,400
97,43900,30
49,24974,2000
51,22047,900
45,23089,300
60,29883,30
82,38728,500
118,47068,20000
82,37718,1000
84,39468,20000
131,15884,1000
11,5616,1000
51,26257,30
46,23711,700
62,30886,1000
26,11294,20000
74,35531,1000
144,61970,1000
3,1537,1000
14,7177,600
65,32096,1000
142,54650,30
75,36015,30
77,36614,400
126,55495,700
2,1062,900
60,29974,20000
77,36564,600
128,56413,600
117,51805,800
1,256,20000
116,7749,30
4,2094,1000
7,3463,180
119,53016,4000
13,6537,1000
84,39360,30
47,23604,800
30,15344,1000
56,28291,1000
93,43078,30
45,22326,4000
13,6497,30
87,40683,1000
22,11604,30
100,45507,180
115,50781,20000
14,2325,20000
16,8546,30
52,26867,20000
8,3682,1000
105,486,30
28,14309,180
16,8405,30
85,39745,5000
30,15586,1000
62,17808,20000
148,63423,1000
103,46812,20000
19,9948,30
94,16875,20000
79,37520,80
137,19260,900
2,1027,800
100,25508,20000
83,16613,30
68,9196,900
64,31733,700
98,24339,600
35,18307,20000
142,61444,30
132,57786,1000
59,29725,20000
42,21437,20000
66,7847,30
145,62377,70
107,2990,20000
22,11598,800
64,31631,2000
72,34586,700
91,42096,2000
138,59859,1000
26,13495,20000
124,8041,20000
48,16846,30
140,33063,2000
69,31308,1000
39,19979,1000
129,56705,1000
21,10998,20000
142,61224,30
99,21042,20000
39,20073,20000
55,26272,20000
26,11825,700
55,1366,20000
137,59521,1000
21,11111,1000
54,27670,900
139,60353,30
96,44089,1000
28,14609,30
116,51670,1000
118,52524,600
32,16745,140
144,62025,1000
139,17421,20000
120,34019,1000
31,16132,4000
141,22277,30
83,38987,30
119,52775,30
72,34583,30
73,34946,300
123,54548,700
124,54774,20000
60,29995,20000
46,23464,900
117,52135,800
96,22919,30
23,11701,30
148,24683,1000
110,29984,30
104,47225,20
103,46789,30
109,49019,1000
117,51963,1000
109,29478,1000
5,2602,2000
9,4583,1000
137,59790,20000
43,22252,30
106,47933,170
120,43041,20000
6,3318,30
14,7243,20000
28,5347,20000
131,57608,500
142,61269,900
105,47770,1000
102,37994,30
21,3579,20000
135,39059,20000
104,26849,900
71,34157,600
80,37616,30
38,19565,200
134,58616,30
22,11281,1000
114,51152,1
86,18179,20000
81,38020,1000
74,35347,900
81,38055,140
148,63757,300
43,20625,30
35,18304,1000
62,5440,30
141,60968,1000
64,31250,30
102,43848,20000
125,55072,800
104,27375,30
5,2516,1000
22,11286,30
129,37758,400
144,62182,10
115,51205,30
149,64009,600
145,60039,20000
49,25002,400
35,14148,20000
80,37925,1000
149,64076,30
64,31560,1000
52,6727,20000
31,15796,1000
16,8376,1000
128,53835,20000
27,13939,30
